MAGs,Kingdom,Phylum,Class,Order,Family,Genus
after_final_contigs_comebin_219_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
after_final_contigs_comebin_223_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_comebin_26_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
after_final_contigs_comebin_51432,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,PBB1
after_final_contigs_comebin_51_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_comebin_54_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
after_final_contigs_comebin_72079_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_concoct_102_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,SCMT01
after_final_contigs_concoct_106_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_concoct_114_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rubrivivax
after_final_contigs_concoct_127_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,Microcoleus
after_final_contigs_concoct_136_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
after_final_contigs_concoct_159_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_concoct_166,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,UBA4096
after_final_contigs_concoct_180_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,Microcoleus
after_final_contigs_concoct_1_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_concoct_215_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_concoct_232_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_concoct_234_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
after_final_contigs_concoct_40_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
after_final_contigs_concoct_54_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA
after_final_contigs_concoct_97,Bacteria,Fibrobacterota,Fibrobacteria,UBA11236,UBA11236,Chersky-265
after_final_contigs_metabat_131_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_metabat_54_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_taxvamb_10,Bacteria,Cyanobacteriota,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,JAAFJU01
after_final_contigs_taxvamb_1755_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Thermoflexibacteraceae,JAAFHK01
after_final_contigs_taxvamb_562,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
all_final_contigs_comebin_115873_sub,Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_121_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
all_final_contigs_comebin_145_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
all_final_contigs_comebin_155033,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Sphaerotilus
all_final_contigs_comebin_187_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
all_final_contigs_comebin_202_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
all_final_contigs_comebin_205453,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,PBB1
all_final_contigs_comebin_234681_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_295511,Bacteria,Pseudomonadota,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,NA
all_final_contigs_comebin_300,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Raineyella
all_final_contigs_comebin_301866_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
all_final_contigs_comebin_30332,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,PBB1
all_final_contigs_comebin_318007,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
all_final_contigs_comebin_40,Bacteria,Bacteroidota,Bacteroidia,B-17B0,B-17BO,UBA4416
all_final_contigs_comebin_407_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_415706_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,ELB16-189
all_final_contigs_comebin_438_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_439_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_454_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_476_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Usitatibacteraceae,JANYFH01
all_final_contigs_comebin_51_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cypionkella
all_final_contigs_comebin_520_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_558_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_596_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_617_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_66111,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
all_final_contigs_comebin_69638,Bacteria,Cyanobacteriota,Cyanobacteriia,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena
all_final_contigs_comebin_76733,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,Phototrophicaceae,Flexicrinis
all_final_contigs_concoct_118_sub,NA,NA,NA,NA,NA,NA
all_final_contigs_concoct_213_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
all_final_contigs_concoct_227_sub,Bacteria,Bacteroidota,Bacteroidia,B-17B0,B-17BO,JADJDM01
all_final_contigs_concoct_231,Bacteria,Bacteroidota,Bacteroidia,JACMRI01,JACMRI01,JACMRI01
all_final_contigs_concoct_242_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
all_final_contigs_concoct_250_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Thermonemataceae,JANYGM01
all_final_contigs_concoct_261_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
all_final_contigs_concoct_265_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans
all_final_contigs_concoct_274_sub,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JAAFJT01
all_final_contigs_concoct_286_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ideonella
all_final_contigs_concoct_287,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Conyzicola
all_final_contigs_concoct_289_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_291_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JANYCG01
all_final_contigs_concoct_324_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_340_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
all_final_contigs_concoct_351,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,NA
all_final_contigs_concoct_39_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,NA
all_final_contigs_concoct_49,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,UBA4096
all_final_contigs_concoct_54_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_56_sub,Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_59_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
all_final_contigs_concoct_65,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea
all_final_contigs_concoct_6_sub,Unclassified,NA,NA,NA,NA,NA
all_final_contigs_concoct_87_sub,Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_90_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,Micavibrio
all_final_contigs_metabat_109_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
all_final_contigs_metabat_183,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA
all_final_contigs_metabat_184_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_metabat_213_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_metabat_251_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_metabat_266,NA,NA,NA,NA,NA,NA
all_final_contigs_metabat_37,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,JJ008
all_final_contigs_metabat_40_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_metabinner_65,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
all_final_contigs_rosella_0_114_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_rosella_263_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_rosella_67_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_rosella_90_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_taxvamb_106492_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
all_final_contigs_taxvamb_1232_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,Microcoleus
all_final_contigs_taxvamb_126857_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
all_final_contigs_taxvamb_1285_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,JANXVY01
all_final_contigs_taxvamb_1440_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas
all_final_contigs_taxvamb_5064_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
all_final_contigs_taxvamb_6892_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_taxvamb_886_sub,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,JAAFHG01
all_final_contigs_taxvamb_960_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_comebin_112292,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
before_final_contigs_comebin_116964,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium
before_final_contigs_comebin_119_sub,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,JAAFHG01
before_final_contigs_comebin_137133,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JANYCG01
before_final_contigs_comebin_138773_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Arcicella
before_final_contigs_comebin_155841,Bacteria,Patescibacteria,JAEDAM01,BD1-5,UBA2023,JAGOMW01
before_final_contigs_comebin_167622_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
before_final_contigs_comebin_179523,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,PBB1
before_final_contigs_comebin_199124_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Telluria
before_final_contigs_comebin_201569_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JANYCG01
before_final_contigs_comebin_25_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
before_final_contigs_comebin_46641_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
before_final_contigs_comebin_77321_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
before_final_contigs_concoct_197_sub,Bacteria,NA,NA,NA,NA,NA
before_final_contigs_concoct_20_sub,Bacteria,Actinomycetota,Actinomycetes,Nanopelagicales,Nanopelagicaceae,Planktophila
before_final_contigs_concoct_210_sub,Unclassified,NA,NA,NA,NA,NA
before_final_contigs_concoct_23_sub,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,BOG-1363
before_final_contigs_concoct_240_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_concoct_248,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Conyzicola
before_final_contigs_concoct_258,NA,NA,NA,NA,NA,NA
before_final_contigs_concoct_53_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
before_final_contigs_concoct_65_sub,Bacteria,Pseudomonadota,NA,NA,NA,NA
before_final_contigs_concoct_73,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_concoct_89_sub,Bacteria,NA,NA,NA,NA,NA
before_final_contigs_metabat_126_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_metabat_150_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,Gloeomargaritales,NA,NA
before_final_contigs_metabat_63_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
before_final_contigs_metabinner_29_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_metabinner_32_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFIP01
before_final_contigs_metabinner_74_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
before_final_contigs_rosella_149_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_taxvamb_18379_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
Co22_flye_high_cov_comebin_83_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_87_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_98116,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,JAAUPO01,JAAUPO01
Co22_flye_high_cov_comebin_99686_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_141_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rubrivivax
Co22_flye_high_cov_concoct_233_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_25_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_61_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFIP01
Co22_flye_high_cov_concoct_93_sub,Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_metabat_113_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_metabat_147_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomicrobium
Co22_flye_high_cov_metabat_160_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_metabat_175_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_metabat_201_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,Gloeomargaritales,NA,NA
Co22_flye_high_cov_metabat_52_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Co22_flye_high_cov_metabat_81_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_metabinner_1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA
Co22_flye_high_cov_rosella_0_144,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
Co22_flye_high_cov_rosella_0_365_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomicrobium
Co22_flye_high_cov_rosella_313_sub,Bacteria,JAFGND01,NA,NA,NA,NA
Co22_flye_high_cov_rosella_34,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Co22_flye_high_cov_taxvamb_11869_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_taxvamb_3234_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_taxvamb_82_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax
P1_contigs_comebin_15_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P1_contigs_comebin_165_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_comebin_16706,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
P1_contigs_comebin_21972,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JASGCK01
P1_contigs_comebin_29,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,NA
P1_contigs_comebin_46_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_comebin_7,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
P1_contigs_comebin_74343,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Janthinobacterium
P1_contigs_comebin_882,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,UBA2334
P1_contigs_concoct_105_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
P1_contigs_rosella_0_21_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_rosella_0_32_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_rosella_90_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_taxvamb_11_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
P1_contigs_taxvamb_360_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_taxvamb_952_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
P2_contigs_comebin_122_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Thermonemataceae,JANYGM01
P2_contigs_comebin_26573_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,M2408
P2_contigs_comebin_34608,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_comebin_47,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Hydrogenophaga
P2_contigs_comebin_50491,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Pseudobdellovibrio
P2_contigs_concoct_173,Bacteria,Patescibacteria,JAEDAM01,BD1-5,UBA2023,NA
P2_contigs_concoct_33,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_concoct_52_sub,Bacteria,UBP17,UBA6191,NA,NA,NA
P2_contigs_concoct_65,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,BOG-1363
P2_contigs_metabat_20_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_metabat_47_sub,Unclassified,NA,NA,NA,NA,NA
P2_contigs_metabinner_14_sub,Bacteria,Patescibacteria,JAEDAM01,BD1-5,UBA2023,CAIVSN01
P2_contigs_metabinner_33_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
P2_contigs_metabinner_8,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Pseudobdellovibrio
P2_contigs_rosella_0_unbinned_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_comebin_16108,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
P3_contigs_comebin_18683,Bacteria,Cyanobacteriota,Cyanobacteriia,Gloeomargaritales,NA,NA
P3_contigs_comebin_38780_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
P3_contigs_comebin_63_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_comebin_6_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_comebin_7850,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
P3_contigs_comebin_84447,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
P3_contigs_concoct_1,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,NA
P3_contigs_concoct_103_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Undibacterium
P3_contigs_concoct_105_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_concoct_28_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_concoct_32_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_concoct_38_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_concoct_55_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_concoct_8_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
P3_contigs_metabat_39,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Hydrogenophaga
P3_contigs_metabinner_24_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
P3_contigs_taxvamb_189_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
P3_contigs_taxvamb_5932_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P3_contigs_taxvamb_601_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFIP01
P3_contigs_taxvamb_667_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
P4_contigs_comebin_12,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
P4_contigs_comebin_140,Bacteria,Patescibacteria,JAEDAM01,BD1-5,UBA2023,NA
P4_contigs_comebin_29572_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_comebin_3,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P4_contigs_comebin_34223,Bacteria,Cyanobacteriota,Cyanobacteriia,Gloeomargaritales,NA,NA
P4_contigs_comebin_42_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JANYJJ01
P4_contigs_comebin_59411,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFIP01
P4_contigs_comebin_75,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
P4_contigs_comebin_87032_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,Microcoleus
P4_contigs_concoct_105_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
P4_contigs_concoct_149_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_concoct_196,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,UBA2334
P4_contigs_concoct_1_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
P4_contigs_concoct_50_sub,NA,NA,NA,NA,NA,NA
P4_contigs_concoct_59_sub,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Pseudobdellovibrio
P4_contigs_concoct_84,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,Limnoraphis
P4_contigs_metabat_100_sub,Unclassified,NA,NA,NA,NA,NA
P4_contigs_metabinner_12,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,Phototrophicaceae,Flexicrinis
P4_contigs_metabinner_51,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
P4_contigs_rosella_0_45_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_rosella_45_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_taxvamb_1629_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,JANYCO01
P4_contigs_taxvamb_2614_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_taxvamb_30_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_taxvamb_93_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Telluria
P5_contigs_comebin_18196,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,ELB16-189
P5_contigs_comebin_29_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Aestuariivirgaceae,Aestuariivirga
P5_contigs_comebin_66748,Bacteria,Cyanobacteriota,Cyanobacteriia,Gloeomargaritales,NA,NA
P5_contigs_comebin_69604,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
P5_contigs_concoct_111_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P5_contigs_concoct_136_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,JANYCO01
P5_contigs_concoct_157_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,SCMT01
